3,TRUE,TRUE,TRUE
0110;1100;1010;0000,7304,7237,1823,
0110;1100;1111;0101,4200,4259,1090,
1001;0011;0110;1100,4354,4356,1494,
0110;1001;0101;1010,4336,4248,1450,
0110;0011;0000;0101,7181,7278,1820,
0000;0011;1111;1100,4356,4263,0,
0011;1001;0101;1111,4317,4277,1101,
0101;0000;1111;1010,4394,4328,0,
0110;0011;1010;1111,4148,4240,1039,

5,TRUE,TRUE,FALSE
0101;1100;0000;1001,5800,5741,1428,
1001;0110;1111;0000,4393,4644,0,
1100;1001;1010;1111,4525,4512,1143,
0000;0011;1001;1010,5739,5881,1429,
0101;0011;1100;1010,4445,4382,1459,
0110;1010;1100;0000,5914,5818,1484,
1100;0101;0110;1111,4518,4614,1174,
0110;1100;0011;1001,4444,4534,1504,
1001;1010;0110;0101,4499,4472,1461,
0101;0011;0000;0110,5828,5841,1490,
1100;0011;0000;1111,4391,4573,0,
1111;0011;0101;1001,4515,4464,1108,
0101;1010;1111;0000,4501,4439,0,
1111;0110;1010;0011,4554,4522,1146,

6,TRUE,TRUE,FALSE
1111;0110;1001;0000,4545,4541,0,
1001;1100;0000;0101,5235,5207,1279,
1001;1010;1100;1111,4569,4625,1143,
0011;1010;0000;1001,5188,5329,1359,
0101;1100;0011;1010,4552,4518,1481,
0110;1100;0000;1010,5150,5116,1262,
0110;1111;1100;0101,4582,4619,1162,
1001;0110;1100;0011,4670,4649,1566,
0110;1010;1001;0101,4602,4657,1527,
0011;0000;0110;0101,5180,5101,1311,
1100;0011;0000;1111,4643,4642,0,
1001;1111;0101;0011,4659,4550,1154,
0000;1010;1111;0101,4696,4671,0,
1111;0011;1010;0110,4602,4618,1192,

7,TRUE,TRUE,FALSE
0000;1001;0101;1100,4855,5008,1241,
1001;0110;0000;1111,4624,4650,0,
1010;0000;0011;1001,4951,4897,1257,
1111;1001;1100;1010,4704,4652,1166,
0101;0011;1010;1100,4658,4613,1529,
0110;1111;0101;1100,4636,4701,1156,
0000;1010;1100;0110,4986,4916,1287,
1001;0110;0011;1100,4564,4569,1518,
0110;1001;1010;0101,4594,4634,1514,
0000;1111;1100;0011,4602,4656,0,
0011;0101;0000;0110,4906,4877,1226,
0101;1111;1001;0011,4716,4790,1219,
1010;1111;0000;0101,4684,4701,0,
0110;1111;1010;0011,4706,4619,1192,

8,TRUE,TRUE,FALSE
0110;1001;0000;1111,4733,4645,0,
1100;1001;0101;0000,4861,4831,1203,
0000;1001;1010;0011,4918,4960,1205,
1100;1111;1010;1001,4635,4716,1163,
0101;0011;1100;1010,4595,4574,1514,
1100;0110;0000;1010,4862,4837,1233,
1100;0101;0110;1111,4650,4548,1135,
1100;0011;1001;0110,4644,4687,1595,
1010;0110;1001;0101,4576,4554,1501,
0011;1100;0000;1111,4739,4591,0,
0000;0011;0110;0101,4925,4938,1305,
0101;1001;1111;0011,4737,4671,1193,
0101;0000;1111;1010,4604,4719,0,
1111;1010;0011;0110,4529,4616,1127,

9,TRUE,TRUE,FALSE
1100;0000;1001;0101,4762,4748,1166,
1111;0110;0000;1001,4637,4618,0,
1001;1111;1100;1010,4809,4617,1206,
1010;1001;0011;0000,4781,4738,1175,
0011;1100;0101;1010,4719,4687,1526,
1111;1100;0101;0110,4623,4827,1215,
0000;0110;1010;1100,4853,4812,1186,
1100;1001;0011;0110,4799,4734,1591,
0110;1010;0101;1001,4745,4842,1587,
0000;1111;0011;1100,4748,4654,0,
0011;0000;0110;0101,4662,4760,1140,
1001;0101;0011;1111,4684,4629,1190,
0101;1111;1010;0000,4704,4607,0,
0011;0110;1010;1111,4608,4651,1154,

10,TRUE,TRUE,FALSE
0000;1001;0110;1111,4631,4691,0,
0101;0000;1001;1100,4741,4704,1130,
1001;0011;0000;1010,4649,4712,1167,
1001;1111;1100;1010,4603,4686,1158,
0101;1010;1100;0011,4633,4637,1515,
0110;1100;1111;0101,4600,4627,1142,
0000;1010;0110;1100,4772,4743,1181,
