3,TRUE,TRUE,TRUE
0001;1111;0100;1010,466,0,0,
1010;1100;0011;0101,483,472,156,
1011;0111;0011;1111,474,0,0,
0000;1010;0110;1100,779,786,198,
1101;0101;0100;1100,633,0,0,
1101;0100;1011;0010,473,0,0,
1011;0010;1010;0011,622,0,0,
1000;0110;0100;1010,654,0,0,
0001;0011;0010;0000,832,0,0,
0011;0000;1111;1100,486,505,0,
1101;1001;0011;0111,663,0,0,
1111;1000;0001;0110,505,0,0,
1000;0000;0010;1010,828,0,0,
1011;0001;1000;0010,687,0,0,
1010;0111;1101;0000,793,0,0,
1111;0101;1010;0000,518,464,0,
0001;1011;1010;0000,801,0,0,
1111;0111;1101;0101,507,0,0,
1111;1010;1100;1001,455,452,108,
0000;1001;0010;1011,843,0,0,
1000;1100;0011;0111,466,0,0,
1000;1100;1110;1010,615,0,0,
0111;0101;1010;1000,451,0,0,
0110;1111;1100;0101,501,455,122,
0011;0100;1101;1010,632,0,0,
1001;0111;1010;0100,642,0,0,
1000;1111;0000;0111,464,0,0,
1111;1010;1110;1011,504,0,0,
1111;0001;0011;1101,488,0,0,
0100;1110;0111;1101,642,0,0,
0110;0101;0001;0010,639,0,0,
1110;0100;1001;0011,614,0,0,
0101;1010;0001;1110,448,0,0,
0011;1010;1110;0111,687,0,0,
0101;1001;1101;0001,631,0,0,
1110;0110;1111;0111,480,0,0,
1010;1100;0111;0001,662,0,0,

6,TRUE,FALSE,FALSE
1000;1101;0111;0010,544,0,0,
1011;0001;1001;0011,613,0,0,
0000;0010;1111;1101,518,0,0,
0010;1100;1101;0011,539,0,0,
0100;0000;1100;1000,719,0,0,
0110;0010;1101;1001,533,0,0,
1111;1100;0111;0100,559,0,0,
1010;1100;1011;1101,588,0,0,
0100;0010;1010;1100,634,0,0,
0010;1001;0101;1110,618,0,0,
1111;1001;1101;1011,522,0,0,
0001;1110;1100;0011,523,0,0,
1001;0101;1010;0110,533,524,161,
0011;0110;0101;0000,724,735,196,
1100;0110;1000;0010,604,0,0,
0010;1011;0110;1111,532,0,0,
1111;1001;1000;1110,525,0,0,
0000;0110;1111;1001,538,521,0,
1110;1000;1101;1011,615,0,0,
0111;0011;0010;0110,610,0,0,
1010;1001;0000;0011,743,709,195,
1101;0100;1001;0000,694,0,0,
0100;1110;0001;1011,539,0,0,
0101;1011;1100;0010,624,0,0,
1100;0000;0111;1011,720,0,0,
1000;0011;1001;0010,594,0,0,
1001;1110;1010;1101,633,0,0,
1011;1010;0111;0110,640,0,0,
0001;1011;1100;0110,638,0,0,
1010;0100;1110;0000,694,0,0,
1111;0010;0100;1001,474,0,0,
0001;0111;1111;1001,573,0,0,
0111;1100;1001;0010,604,0,0,
1011;0001;0111;1101,635,0,0,
0100;0010;1000;1110,584,0,0,
0001;0100;0010;0111,583,0,0,
1000;0011;1110;0101,651,0,0,
0111;0101;0001;0011,619,0,0,
0111;0101;1011;1001,594,0,0,
1001;1100;0100;0001,635,0,0,
0010;0000;1110;1100,712,0,0,
0111;1100;0101;1110,640,0,0,
1101;1010;1000;1111,532,0,0,
1100;0011;0100;1011,522,0,0,
0100;0110;0010;0000,703,0,0,
0000;1101;1011;0110,681,0,0,
0001;1100;1101;0000,682,0,0,
1110;1001;0111;0000,735,0,0,
0010;1100;1111;0001,541,0,0,
0110;0001;0011;0100,654,0,0,
0111;0010;1011;1110,624,0,0,
1111;0011;1001;0101,524,550,134,
0001;0000;0101;0100,660,0,0,
0011;1011;1110;0110,587,0,0,
1101;1001;1000;1100,610,0,0,
1101;0110;0111;1100,582,0,0,
1110;1111;0000;0001,519,0,0,
1101;0010;0001;1110,567,0,0,
0110;0101;0111;0100,572,0,0,
0100;0000;0111;0011,695,0,0,
1110;0101;0100;1111,585,0,0,
1101;0101;1000;0000,715,0,0,
1000;1010;1001;1011,644,0,0,
1010;1101;0101;0010,538,0,0,
1000;0100;0001;1101,623,0,0,
1000;0011;1010;0001,612,0,0,
1000;1111;0101;0010,520,0,0,
1101;1110;0000;0011,672,0,0,
0100;1011;0000;1111,506,0,0,
0001;1110;1001;0110,550,0,0,
0011;1000;1011;0000,721,0,0,
0101;0011;0100;0010,592,0,0,
1101;1010;0110;0001,671,0,0,
1011;0101;1101;0011,620,0,0,
0010;1110;0011;1111,508,0,0,
0110;0111;0001;0000,664,0,0,
0110;1110;1000;0000,681,0,0,
0110;1000;0111;1001,499,0,0,
1101;1110;1111;1100,540,0,0,
0100;1000;1001;0101,631,0,0,
1110;0100;1100;0110,624,0,0,
1011;1111;1000;1100,555,0,0,
1011;0000;0101;1110,671,0,0,
0000;1001;1000;0001,686,0,0,
1000;0110;0101;1011,601,0,0,
0010;0111;0000;0101,686,0,0,
1000;0100;0011;1111,561,0,0,
0001;0101;1000;1100,600,0,0,
0010;1010;1001;0001,624,0,0,
0001;1110;0111;1000,574,0,0,
0110;0011;1001;1100,536,523,164,
0101;0110;1110;1101,600,0,0,
1010;0111;1111;0010,528,0,0,
1010;0101;1011;0100,505,0,0,
1000;1101;0011;0110,635,0,0,
1101;0100;1111;0110,554,0,0,
1111;0001;0101;1011,530,0,0,
1111;1010;0110;0011,548,525,131,
0100;0111;1000;1011,498,0,0,
1001;1100;0101;0000,707,697,183,
1010;0110;1110;0010,619,0,0,
1001;0110;1011;0100,519,0,0,
1110;1100;1001;1011,610,0,0,
1111;0100;1010;0001,512,0,0,
1100;0011;0101;1010,527,549,171,
0000;1010;0110;1100,691,724,173,
0100;1101;0101;1100,594,0,0,
1011;1111;0111;0011,528,0,0,
1101;1011;0010;0100,560,0,0,
0011;1011;0010;1010,597,0,0,
0100;1010;1000;0110,664,0,0,
0000;0001;0011;0010,699,0,0,
0011;1111;0000;1100,509,542,0,
1000;0110;0001;1111,571,0,0,
1101;1001;0111;0011,639,0,0,
0000;1010;1000;0010,700,0,0,
1011;0010;1000;0001,587,0,0,
1010;0111;1101;0000,652,0,0,
0000;0101;1010;1111,499,502,0,
0000;0001;1011;1010,681,0,0,
1101;0101;1111;0111,532,0,0,
1111;1010;1001;1100,556,556,153,
1001;1011;0010;0000,689,0,0,
0011;1000;0111;1100,526,0,0,
1010;1110;1000;1100,638,0,0,
0101;1010;0111;1000,453,0,0,
0110;0101;1100;1111,535,532,131,
1010;0011;1101;0100,602,0,0,
0111;1010;0100;1001,621,0,0,
1010;1110;1011;1111,512,0,0,
0000;0111;1000;1111,502,0,0,
0010;0101;0001;0110,689,0,0,
1110;1101;0100;0111,619,0,0,
1111;0001;1101;0011,525,0,0,
1110;0100;0011;1001,607,0,0,
0011;1010;0111;1110,642,0,0,
1010;0001;1110;0101,523,0,0,
1101;0001;0101;1001,599,0,0,
1110;1111;0110;0111,523,0,0,
0001;1100;0111;1010,643,0,0,

7,TRUE,FALSE,FALSE
0111;0010;1000;1101,540,0,0,
1001;0001;0011;1011,578,0,0,
0000;1101;1111;0010,578,0,0,
1101;0010;0011;1100,591,0,0,
0100;1100;0000;1000,617,0,0,
0110;1001;0010;1101,546,0,0,
1111;0111;0100;1100,543,0,0,
1011;1101;1010;1100,616,0,0,
0100;1010;0010;1100,597,0,0,
1001;1111;1011;1101,563,0,0,
1110;0101;0010;1001,596,0,0,
0001;1100;1110;0011,524,0,0,
0101;0110;1010;1001,589,562,193,
0101;0000;0110;0011,650,672,153,
0010;1000;0110;1100,592,0,0,
0110;1011;0010;1111,527,0,0,
1110;1001;1000;1111,548,0,0,
0000;0110;1111;1001,571,575,0,
1110;1011;1101;1000,603,0,0,
0010;0011;0110;0111,601,0,0,
1001;1010;0011;0000,661,650,171,
1101;1001;0100;0000,645,0,0,
1011;0001;1110;0100,531,0,0,
1011;0101;1100;0010,560,0,0,
0000;0111;1100;1011,604,0,0,
1000;0010;1001;0011,582,0,0,
0111;0110;1011;1010,539,0,0,
1010;1001;1110;1101,581,0,0,
0100;1111;0010;1001,561,0,0,
1110;1010;0100;0000,628,0,0,
1100;0001;1011;0110,615,0,0,
1111;0111;0001;1001,566,0,0,
0010;1100;1001;0111,593,0,0,
1011;0111;0001;1101,591,0,0,
0111;0010;0100;0001,540,0,0,
1000;0010;1110;0100,597,0,0,
0011;1000;0101;1110,572,0,0,
0001;0111;0011;0101,603,0,0,
0111;0101;1001;1011,667,0,0,
1001;0001;0100;1100,630,0,0,
0000;1100;0010;1110,627,0,0,
0101;0111;1100;1110,563,0,0,
1010;1101;1111;1000,582,0,0,
1100;0100;1011;0011,556,0,0,
0010;0000;0110;0100,666,0,0,
1101;1011;0000;0110,649,0,0,
0001;0000;1100;1101,633,0,0,
1001;0000;1110;0111,643,0,0,
1111;0010;1100;0001,556,0,0,
0110;0100;0001;0011,566,0,0,
1110;0010;0111;1011,607,0,0,
1001;0011;0101;1111,569,558,130,
0001;0100;0000;0101,630,0,0,
0110;1110;1011;0011,603,0,0,
1101;1000;1001;1100,621,0,0,
1101;0111;0110;1100,619,0,0,
0001;1111;1110;0000,520,0,0,
0001;0010;1101;1110,570,0,0,
0111;0110;0100;0101,622,0,0,
0100;0111;0000;0011,640,0,0,
0100;1111;0101;1110,545,0,0,
1101;0000;1000;0101,642,0,0,
1011;1000;1010;1001,625,0,0,
1010;1101;0101;0010,570,0,0,
0001;0100;1101;1000,594,0,0,
1010;0001;0011;1000,625,0,0,
1000;1111;0010;0101,559,0,0,
0100;1111;1011;0000,577,0,0,
0011;1110;0000;1101,631,0,0,
0110;1001;1110;0001,560,0,0,
1000;1011;0000;0011,650,0,0,
0010;0011;0100;0101,597,0,0,
1010;0110;1101;0001,579,0,0,
1011;1101;0101;0011,599,0,0,
1111;1110;0011;0010,592,0,0,
1110;1111;1100;1101,569,0,0,
0110;0111;0000;0001,646,0,0,
0000;1000;0110;1110,652,0,0,
0111;1001;0110;1000,544,0,0,
0100;0101;1001;1000,590,0,0,
1110;0100;0110;1100,594,0,0,
1100;1111;1000;1011,594,0,0,
1011;0000;0101;1110,622,0,0,
0001;0000;1001;1000,633,0,0,
0101;1011;1000;0110,587,0,0,
0010;0000;0111;0101,642,0,0,
1111;0100;1000;0011,602,0,0,
0101;1100;1000;0001,649,0,0,
0010;0001;1001;1010,615,0,0,
1001;1100;0110;0011,565,540,184,
0001;1110;1000;0111,563,0,0,
0010;1111;1010;0111,566,0,0,
1110;1101;0101;0110,599,0,0,
0101;1011;1010;0100,544,0,0,
0110;1101;1000;0011,618,0,0,
1111;0100;1101;0110,573,0,0,
1011;0001;0101;1111,548,0,0,
0011;1010;0110;1111,578,589,162,
1011;0111;0100;1000,574,0,0,
1100;0101;0000;1001,676,640,159,
0010;0110;1010;1110,590,0,0,
1110;1001;1011;1100,585,0,0,
0110;1011;0100;1001,550,0,0,
1010;1111;0100;0001,559,0,0,
1010;0011;0101;1100,523,575,186,
0011;1011;1111;0111,548,0,0,
1100;1101;0101;0100,565,0,0,
0000;1010;0110;1100,631,656,146,
0010;1011;0100;1101,532,0,0,
1011;0010;1010;0011,599,0,0,
1010;1000;0100;0110,630,0,0,
0011;0001;0000;0010,637,0,0,
1100;1111;0000;0011,545,552,0,
1001;0111;1101;0011,558,0,0,
0001;0110;1111;1000,584,0,0,
0000;0010;1010;1000,653,0,0,
0001;1000;0010;1011,549,0,0,
0000;1111;0101;1010,547,579,0,
1101;1010;0111;0000,651,0,0,
0000;0001;1011;1010,630,0,0,
0101;1101;0111;1111,571,0,0,
1001;1010;1100;1111,581,566,157,
0000;1011;1001;0010,654,0,0,
1000;0111;0011;1100,533,0,0,
1010;1100;1000;1110,610,0,0,
1000;0111;1010;0101,584,0,0,
1100;0110;0101;1111,581,596,147,
0011;1010;1101;0100,612,0,0,
1010;0111;1001;0100,602,0,0,
1010;1110;1111;1011,584,0,0,
1000;1111;0111;0000,570,0,0,
0001;0101;0010;0110,647,0,0,
0111;1110;0100;1101,585,0,0,
1111;0011;1101;0001,583,0,0,
0011;0100;1110;1001,634,0,0,
1010;0001;0101;1110,514,0,0,
0011;1010;1110;0111,601,0,0,
1101;1001;0101;0001,564,0,0,
1111;0110;1110;0111,576,0,0,
1010;1100;0001;0111,609,0,0,

8,TRUE,FALSE,FALSE
0111;0010;1000;1101,571,0,0,
0011;1011;0001;1001,551,0,0,
0010;1101;0000;1111,556,0,0,
0011;0010;1101;1100,615,0,0,
1100;1000;0000;0100,606,0,0,
1101;0010;1001;0110,586,0,0,
0111;1100;0100;1111,566,0,0,
1011;1010;1100;1101,605,0,0,
1010;1100;0010;0100,565,0,0,
1101;1001;1011;1111,582,0,0,
1001;1110;0010;0101,622,0,0,
1110;0011;1100;0001,590,0,0,
1001;1010;0101;0110,557,557,195,
0000;0011;0101;0110,626,649,178,
1000;0110;0010;1100,581,0,0,
0010;1011;0110;1111,596,0,0,
1001;1111;1110;1000,576,0,0,
1111;1001;0000;0110,569,581,0,
1101;1110;1011;1000,593,0,0,
0110;0111;0011;0010,616,0,0,
0000;0011;1010;1001,618,583,154,
0000;0100;1101;1001,613,0,0,
1011;1110;0100;0001,547,0,0,
1100;1011;0101;0010,608,0,0,
0000;1011;1100;0111,601,0,0,
0010;1000;0011;1001,623,0,0,
1011;0110;1010;0111,624,0,0,
1010;1101;1001;1110,626,0,0,
1001;1111;0010;0100,533,0,0,
0001;0110;1011;1100,602,0,0,
0100;1110;0000;1010,578,0,0,
1001;0111;1111;0001,562,0,0,
1001;0010;1100;0111,579,0,0,
0001;0111;1101;1011,613,0,0,
0100;1110;1000;0010,584,0,0,
0111;0001;0100;0010,590,0,0,
0011;0101;1000;1110,640,0,0,
1011;0111;1001;0101,559,0,0,
0111;0101;0011;0001,581,0,0,
0001;1100;0100;1001,601,0,0,
0010;1100;1110;0000,620,0,0,
1110;1100;0101;0111,611,0,0,
1010;1111;1101;1000,570,0,0,
1011;1100;0100;0011,574,0,0,
1101;1011;0110;0000,653,0,0,
0110;0010;0000;0100,637,0,0,
0111;0000;1110;1001,592,0,0,
1100;0000;1101;0001,573,0,0,
0001;0010;1111;1100,591,0,0,
0010;1110;0111;1011,572,0,0,
0001;0011;0110;0100,615,0,0,
1111;0011;1001;0101,582,575,160,
0100;0000;0101;0001,590,0,0,
0011;0110;1011;1110,619,0,0,
1000;1001;1100;1101,609,0,0,
1100;0110;1101;0111,611,0,0,
0000;1110;0001;1111,574,0,0,
0010;1110;0001;1101,562,0,0,
0110;0100;0101;0111,591,0,0,
0000;0011;0100;0111,592,0,0,
1111;1110;0100;0101,581,0,0,
1001;1010;1011;1000,571,0,0,
0000;0101;1000;1101,625,0,0,
1010;0010;1101;0101,609,0,0,
1010;0011;0001;1000,609,0,0,
1101;0001;0100;1000,537,0,0,
0010;1000;1111;0101,614,0,0,
1111;0100;1011;0000,542,0,0,
0011;1101;1110;0000,609,0,0,
0001;1110;1001;0110,568,0,0,
0011;1011;0000;1000,567,0,0,
0101;0010;0100;0011,555,0,0,
0110;1101;0001;1010,578,0,0,
0011;0101;1011;1101,620,0,0,
0011;1110;0010;1111,567,0,0,
0001;0000;0110;0111,605,0,0,
1000;0110;0111;1001,571,0,0,
1101;1100;1110;1111,579,0,0,
1000;1110;0000;0110,640,0,0,
0101;1000;1001;0100,581,0,0,
0110;1100;0100;1110,631,0,0,
1111;1011;1000;1100,547,0,0,
1110;0000;1011;0101,617,0,0,
1001;1000;0001;0000,603,0,0,
1011;1000;0101;0110,602,0,0,
1111;0011;1000;0100,572,0,0,
0101;0000;0111;0010,588,0,0,
1100;0001;1000;0101,638,0,0,
1001;0001;0010;1010,579,0,0,
0111;1110;0001;1000,572,0,0,
1100;0110;0011;1001,566,596,172,
1101;0101;0110;1110,575,0,0,
0111;1111;1010;0010,553,0,0,
0101;0100;1010;1011,562,0,0,
1000;0110;0011;1101,591,0,0,
1101;0100;0110;1111,566,0,0,
1011;0001;0101;1111,604,0,0,
0011;1010;1111;0110,582,581,138,
0100;1011;1000;0111,553,0,0,
1001;1100;0101;0000,604,603,134,
1010;0010;0110;1110,599,0,0,
0110;0100;1011;1001,540,0,0,
1110;1001;1011;1100,579,0,0,
1010;1111;0100;0001,585,0,0,
0101;0011;1010;1100,585,555,178,
1010;1100;0110;0000,590,603,133,
1011;1111;0011;0111,546,0,0,
1101;0101;0100;1100,649,0,0,
1011;1101;0100;0010,579,0,0,
1011;1010;0011;0010,580,0,0,
1000;0100;1010;0110,564,0,0,
0010;0000;0011;0001,600,0,0,
1100;1111;0000;0011,579,572,0,
1111;1000;0110;0001,604,0,0,
1001;0111;1101;0011,602,0,0,
0000;1000;0010;1010,632,0,0,
0001;1011;1000;0010,591,0,0,
0101;1010;1111;0000,586,600,0,
0000;1010;1101;0111,578,0,0,
0001;0000;1011;1010,638,0,0,
0111;1101;0101;1111,555,0,0,
1001;0000;1011;0010,609,0,0,
0111;1000;0011;1100,570,0,0,
1111;1001;1010;1100,598,564,152,
1010;1000;1100;1110,576,0,0,
1010;0111;1000;0101,584,0,0,
1100;1111;0101;0110,576,618,155,
1101;1010;0100;0011,632,0,0,
0100;1001;0111;1010,554,0,0,
1011;1110;1010;1111,600,0,0,
0111;1000;0000;1111,549,0,0,
0100;1110;1101;0111,613,0,0,
1101;0001;0011;1111,528,0,0,
0001;0101;0010;0110,569,0,0,
0100;0011;1001;1110,601,0,0,
1010;0111;1110;0011,609,0,0,
0001;1110;0101;1010,595,0,0,
0101;0001;1001;1101,553,0,0,
0110;0111;1111;1110,607,0,0,
0001;0111;1100;1010,546,0,0,

9,TRUE,FALSE,FALSE
0111;1000;0010;1101,578,0,0,
0001;1011;1001;0011,582,0,0,
1101;1111;0000;0010,565,0,0,
0011;0010;1101;1100,552,0,0,
0110;1001;0010;1101,613,0,0,
0000;0100;1100;1000,612,0,0,
1111;0100;0111;1100,580,0,0,
1010;1101;1011;1100,589,0,0,
1100;1010;0100;0010,584,0,0,
1001;0010;0101;1110,583,0,0,
1011;1111;1001;1101,523,0,0,
1110;0011;1100;0001,536,0,0,
1001;1010;0101;0110,571,599,191,
0101;0110;0000;0011,604,617,160,
1100;1000;0110;0010,613,0,0,
1111;0010;0110;1011,560,0,0,
1000;1110;1001;1111,546,0,0,
0000;1111;0110;1001,587,602,0,
1101;1110;1011;1000,620,0,0,
0110;0111;0010;0011,570,0,0,
0011;1010;0000;1001,548,601,137,
1101;1001;0000;0100,599,0,0,
0001;1110;0100;1011,585,0,0,
0101;0010;1011;1100,543,0,0,
0111;1011;0000;1100,620,0,0,
0011;1001;1000;0010,598,0,0,
1011;0111;0110;1010,619,0,0,
1101;1001;1110;1010,625,0,0,
0100;1001;0010;1111,598,0,0,
0001;0110;1100;1011,592,0,0,
1010;0100;1110;0000,580,0,0,
0001;1111;0111;1001,584,0,0,
0111;0010;1100;1001,558,0,0,
0111;1101;0001;1011,582,0,0,
0111;0100;0010;0001,611,0,0,
0010;1110;0100;1000,592,0,0,
0011;1000;0101;1110,625,0,0,
0111;0101;0011;0001,571,0,0,
0111;1001;0101;1011,591,0,0,
0001;1100;0100;1001,567,0,0,
0000;1110;0010;1100,612,0,0,
0101;1110;1100;0111,554,0,0,
1010;1111;1000;1101,632,0,0,
0100;1011;1100;0011,596,0,0,
0010;0100;0000;0110,639,0,0,
0000;1011;1101;0110,603,0,0,
0111;1001;0000;1110,615,0,0,
0000;1101;1100;0001,591,0,0,
1111;1100;0001;0010,567,0,0,
0100;0011;0001;0110,617,0,0,
1110;0010;0111;1011,567,0,0,
1001;0101;1111;0011,613,616,152,
0001;0000;0101;0100,616,0,0,
1011;0110;0011;1110,632,0,0,
1101;1000;1001;1100,601,0,0,
0111;1101;1100;0110,540,0,0,
1111;0001;0000;1110,577,0,0,
1101;1110;0010;0001,612,0,0,
0111;0100;0101;0110,574,0,0,
0111;0100;0011;0000,586,0,0,
0100;1111;0101;1110,557,0,0,
0000;0101;1101;1000,589,0,0,
1000;1011;1010;1001,602,0,0,
1101;0101;0010;1010,601,0,0,
1000;0001;1101;0100,585,0,0,
0011;1010;0001;1000,580,0,0,
0010;1111;1000;0101,600,0,0,
0011;0000;1110;1101,557,0,0,
0000;1111;0100;1011,558,0,0,
1110;0110;0001;1001,627,0,0,
0000;1000;0011;1011,596,0,0,
0011;0010;0100;0101,547,0,0,
0001;0110;1010;1101,630,0,0,
1011;0101;1101;0011,537,0,0,
1110;1111;0010;0011,562,0,0,
0001;0111;0000;0110,581,0,0,
0000;0110;1000;1110,640,0,0,
1000;1001;0111;0110,584,0,0,
1101;1110;1100;1111,594,0,0,
1001;1000;0101;0100,608,0,0,
0100;1100;1110;0110,583,0,0,
1000;1111;1100;1011,550,0,0,
1110;1011;0101;0000,618,0,0,
1001;0001;0000;1000,561,0,0,
1011;1000;0101;0110,600,0,0,
0000;0101;0010;0111,590,0,0,
1111;1000;0011;0100,586,0,0,
1000;1100;0101;0001,599,0,0,
0010;1010;1001;0001,565,0,0,
1000;1110;0111;0001,548,0,0,
1100;0110;0011;1001,615,575,186,
0100;1011;1010;0101,564,0,0,
1010;0111;1111;0010,592,0,0,
1110;0101;1101;0110,612,0,0,
0011;1101;1000;0110,582,0,0,
0110;1111;0100;1101,587,0,0,
0101;1011;1111;0001,549,0,0,
1010;0011;0110;1111,608,584,157,
1000;0111;1011;0100,590,0,0,
1100;0101;0000;1001,613,579,155,
0010;1010;0110;1110,606,0,0,
1001;1110;1100;1011,600,0,0,
1011;0100;0110;1001,520,0,0,
1111;0001;1010;0100,545,0,0,
0101;1100;1010;0011,615,627,217,
1111;0011;0111;1011,574,0,0,
0000;0110;1010;1100,606,574,137,
0100;0101;1100;1101,609,0,0,
1101;0100;1011;0010,593,0,0,
0110;0100;1000;1010,617,0,0,
0010;1010;0011;1011,552,0,0,
0011;0000;0001;0010,582,0,0,
0011;1111;0000;1100,602,592,0,
1111;0001;0110;1000,553,0,0,
0111;1001;1101;0011,595,0,0,
1010;0010;1000;0000,607,0,0,
0010;1000;1011;0001,603,0,0,
1010;0101;1111;0000,598,574,0,
1101;0000;0111;1010,598,0,0,
0001;0000;1010;1011,561,0,0,
0101;0111;1111;1101,591,0,0,
0111;1000;1100;0011,568,0,0,
0000;1001;0010;1011,567,0,0,
1010;1100;1001;1111,567,585,141,
1110;1000;1010;1100,579,0,0,
1000;1010;0101;0111,574,0,0,
1111;1100;0110;0101,564,567,136,
1101;0100;1010;0011,587,0,0,
0111;1010;0100;1001,640,0,0,
1111;1000;0111;0000,570,0,0,
1011;1010;1111;1110,625,0,0,
1110;0111;0100;1101,607,0,0,
0001;0101;0010;0110,557,0,0,
1101;0001;0011;1111,586,0,0,
0011;0100;1001;1110,566,0,0,
1010;1110;0001;0101,579,0,0,
0111;1110;1010;0011,611,0,0,
0101;1001;1101;0001,643,0,0,
0111;1111;1110;0110,561,0,0,
1100;0111;0001;1010,631,0,0,

10,TRUE,FALSE,FALSE
0010;0111;1101;1000,561,0,0,
0011;1001;0001;1011,561,0,0,
0000;0010;1101;1111,597,0,0,
0010;1101;1100;0011,597,0,0,
0000;1100;0100;1000,592,0,0,
0110;1101;1001;0010,591,0,0,
0100;1100;0111;1111,551,0,0,
1010;1011;1101;1100,597,0,0,
0010;1010;1100;0100,588,0,0,
1110;0010;0101;1001,615,0,0,
1101;1011;1001;1111,588,0,0,
1100;0011;1110;0001,540,0,0,
0110;0101;1001;1010,578,595,186,
0110;0011;0101;0000,582,564,161,
1100;0110;0010;1000,606,0,0,
1111;1011;0010;0110,587,0,0,
1001;1110;1000;1111,578,0,0,
1001;0110;1111;0000,583,584,0,
1011;1101;1110;1000,548,0,0,
0111;0010;0011;0110,585,0,0,
0100;0000;1101;1001,585,0,0,
1001;0000;1010;0011,564,571,154,
0001;0100;1110;1011,564,0,0,
0101;1011;0010;1100,604,0,0,
1011;0000;0111;1100,567,0,0,
0010;1000;0011;1001,553,0,0,
1010;0110;0111;1011,580,0,0,
1110;1001;1101;1010,606,0,0,
0010;0100;1111;1001,584,0,0,
1110;0000;0100;1010,598,0,0,
0001;1011;1100;0110,579,0,0,
0111;1001;0001;1111,596,0,0,
0111;1100;0010;1001,558,0,0,
1011;0111;1101;0001,579,0,0,
1110;1000;0010;0100,577,0,0,
0100;0001;0111;0010,572,0,0,
1000;1110;0101;0011,626,0,0,
0101;0011;0111;0001,602,0,0,
0101;1001;0111;1011,560,0,0,
0001;0100;1001;1100,594,0,0,
0111;0101;1110;1100,552,0,0,
1110;0010;1100;0000,601,0,0,
1010;1111;1000;1101,591,0,0,
1011;0011;1100;0100,568,0,0,
0110;0000;1011;1101,551,0,0,
0010;0100;0110;0000,591,0,0,
0111;1001;1110;0000,653,0,0,
1100;0001;1101;0000,590,0,0,
0001;1100;0010;1111,631,0,0,
0010;1011;0111;1110,564,0,0,
0001;0110;0100;0011,579,0,0,
0011;1111;1001;0101,589,584,156,
0101;0100;0000;0001,604,0,0,
1011;0110;0011;1110,540,0,0,
1101;1100;1001;1000,623,0,0,
0111;1100;0110;1101,547,0,0,
0000;1110;0001;1111,604,0,0,
1110;0010;0001;1101,547,0,0,
0111;0100;0110;0101,563,0,0,
0000;0111;0100;0011,615,0,0,
1111;1110;0100;0101,615,0,0,
0000;1101;0101;1000,558,0,0,
1010;1001;1011;1000,622,0,0,
0010;1101;1010;0101,562,0,0,
1000;1101;0001;0100,554,0,0,
1010;0001;0011;1000,543,0,0,
0010;0101;1000;1111,585,0,0,
1110;1101;0011;0000,607,0,0,
1011;0100;1111;0000,562,0,0,
0110;0001;1110;1001,583,0,0,
0000;1011;1000;0011,596,0,0,
0010;0100;0011;0101,588,0,0,
1010;0001;0110;1101,590,0,0,
0101;1101;1011;0011,594,0,0,
1111;0010;0011;1110,601,0,0,
0000;0110;1000;1110,592,0,0,
1001;0111;0110;1000,570,0,0,
1100;1111;1110;1101,594,0,0,
0111;0001;0000;0110,607,0,0,
0101;0100;1000;1001,623,0,0,
0110;1100;0100;1110,626,0,0,
1000;1111;1100;1011,588,0,0,
1110;1011;0101;0000,593,0,0,
0001;0000;1001;1000,606,0,0,
1011;0101;1000;0110,628,0,0,
0111;0010;0101;0000,623,0,0,
1111;0011;0100;1000,570,0,0,
0101;1000;1100;0001,587,0,0,
1010;0001;0010;1001,614,0,0,
1100;0110;1001;0011,594,593,197,
0001;1110;1000;0111,536,0,0,
1101;0101;1110;0110,570,0,0,
1011;0101;0100;1010,583,0,0,
0010;1111;1010;0111,615,0,0,
1101;0011;0110;1000,604,0,0,
0100;1111;0110;1101,592,0,0,
1011;0101;1111;0001,566,0,0,
0011;1111;1010;0110,642,600,178,
0111;0100;1000;1011,614,0,0,
1001;1100;0101;0000,582,555,144,
1110;1010;0010;0110,542,0,0,
1100;1110;1011;1001,561,0,0,
0100;1001;0110;1011,583,0,0,
0001;1111;0100;1010,600,0,0,
1010;1100;0011;0101,562,546,176,
1011;1111;0111;0011,577,0,0,
1101;1100;0101;0100,566,0,0,
0000;1100;1010;0110,555,593,159,
0010;0100;1011;1101,600,0,0,
1010;1000;0100;0110,599,0,0,
1011;1010;0010;0011,609,0,0,
0000;0001;0010;0011,630,0,0,
1111;0000;1100;0011,561,607,0,
1001;0011;1101;0111,583,0,0,
0001;1111;1000;0110,562,0,0,
0010;1010;1000;0000,607,0,0,
0010;0001;1000;1011,594,0,0,
0101;0000;1010;1111,582,595,0,
1010;0000;1101;0111,630,0,0,
1010;0000;1011;0001,639,0,0,
0111;1111;0101;1101,571,0,0,
1100;0111;0011;1000,593,0,0,
1100;1001;1010;1111,569,569,137,
1011;0000;1001;0010,596,0,0,
1000;1010;1110;1100,601,0,0,
1000;1010;0111;0101,562,0,0,
0101;0110;1100;1111,551,598,124,
0011;1101;0100;1010,574,0,0,
0111;0100;1010;1001,587,0,0,
0111;1000;1111;0000,606,0,0,
1110;1111;1011;1010,587,0,0,
0011;1111;1101;0001,589,0,0,
0100;1101;1110;0111,613,0,0,
0101;0010;0110;0001,549,0,0,
